	11YQS01CT001XQ01	11YQS01CT002XQ01	11YQS01CT003XQ01	11YQS01CT004XQ01	11YQS02CT001XQ01	11YQS02CT002XQ01	11YQS02CT003XQ01	11YQS02CT004XQ01	11YQS03CT001XQ01	11YQS03CT002XQ01	11YQS03CT003XQ01	11YQS03CT004XQ01	11YQS04CT001XQ01	11YQS04CT002XQ01	11YQS04CT003XQ01	11YQS04CT004XQ01	11YQS05CT001XQ01	11YQS05CT002XQ01	11YQS05CT003XQ01	11YQS05CT004XQ01	11YQS06CT001XQ01	11YQS06CT002XQ01	11YQS06CT003XQ01	11YQS06CT004XQ01	11YQS07CT001XQ01	11YQS07CT002XQ01	11YQS07CT003XQ01	11YQS07CT004XQ01	11YQS08CT001XQ01	11YQS08CT002XQ01	11YQS08CT003XQ01	11YQS08CT004XQ01	11YQS09CT001XQ01	11YQS09CT002XQ01	11YQS09CT003XQ01	11YQS09CT004XQ01	11YQS10CT001XQ01	11YQS10CT002XQ01	11YQS10CT003XQ01	11YQS10CT004XQ01	11YQS11CT001XQ01	11YQS11CT002XQ01	11YQS11CT003XQ01	11YQS11CT004XQ01	11YQS12CT001XQ01	11YQS12CT002XQ01	11YQS12CT003XQ01	11YQS12CT004XQ01	11YQS13CT001XQ01	11YQS13CT002XQ01	11YQS13CT003XQ01	11YQS13CT004XQ01	11YQS14CT001XQ01	11YQS14CT002XQ01	11YQS14CT003XQ01	11YQS14CT004XQ01	11YQS15CT001XQ01	11YQS15CT002XQ01	11YQS15CT003XQ01	11YQS15CT004XQ01	11YQS16CT001XQ01	11YQS16CT002XQ01	11YQS16CT003XQ01	11YQS16CT004XQ01	11YQS17CT001XQ01	11YQS17CT002XQ01	11YQS17CT003XQ01	11YQS17CT004XQ01	11YQS18CT001XQ01	11YQS18CT002XQ01	11YQS18CT003XQ01	11YQS18CT004XQ01	11YQS19CT001XQ01	11YQS19CT002XQ01	11YQS19CT003XQ01	11YQS19CT004XQ01	11YQS20CT001XQ01	11YQS20CT002XQ01	11YQS20CT003XQ01	11YQS20CT004XQ01	11YQS21CT001XQ01	11YQS21CT002XQ01	11YQS21CT003XQ01	11YQS21CT004XQ01	11YQS22CT001XQ01	11YQS22CT002XQ01	11YQS22CT003XQ01	11YQS22CT004XQ01	11YQS23CT001XQ01	11YQS23CT002XQ01	11YQS23CT003XQ01	11YQS23CT004XQ01	11YQS51CT001XQ01	11YQS51CT002XQ01	11YQS51CT003XQ01	11YQS51CT004XQ01	11YQS51CT005XQ01	11YQS52CT001XQ01	11YQS52CT002XQ01	11YQS52CT003XQ01	11YQS52CT004XQ01	11YQS52CT005XQ01	12YAS11CT008AXQ1	12YAS11CT008BXQ1	12YAS11CT008CXQ1	12YAS12CT002AXQ1	12YAS12CT002BXQ1	12YAS12CT002CXQ1	12YAS21CT008AXQ1	12YAS21CT008BXQ1	12YAS21CT008CXQ1	12YAS22CT002AXQ1	12YAS22CT002BXQ1	12YAS22CT002CXQ1	12YAS31CT008AXQ1	12YAS31CT008BXQ1	12YAS31CT008CXQ1	12YAS32CT002AXQ1	12YAS32CT002BXQ1	12YAS32CT002CXQ1	12YAS41CT008AXQ1	12YAS41CT008BXQ1	12YAS41CT008CXQ1	12YAS42CT002AXQ1	12YAS42CT002BXQ1	12YAS42CT002CXQ1	12YQS24CT001XQ01	12YQS24CT002XQ01	12YQS24CT003XQ01	12YQS24CT004XQ01	12YQS25CT001XQ01	12YQS25CT002XQ01	12YQS25CT003XQ01	12YQS25CT004XQ01	12YQS26CT001XQ01	12YQS26CT002XQ01	12YQS26CT003XQ01	12YQS26CT004XQ01	12YQS27CT001XQ01	12YQS27CT002XQ01	12YQS27CT003XQ01	12YQS27CT004XQ01	12YQS28CT001XQ01	12YQS28CT002XQ01	12YQS28CT003XQ01	12YQS28CT004XQ01	12YQS29CT001XQ01	12YQS29CT002XQ01	12YQS29CT003XQ01	12YQS29CT004XQ01	12YQS30CT001XQ01	12YQS30CT002XQ01	12YQS30CT003XQ01	12YQS30CT004XQ01	12YQS31CT001XQ01	12YQS31CT002XQ01	12YQS31CT003XQ01	12YQS31CT004XQ01	12YQS32CT001XQ01	12YQS32CT002XQ01	12YQS32CT003XQ01	12YQS32CT004XQ01	12YQS33CT001XQ01	12YQS33CT002XQ01	12YQS33CT003XQ01	12YQS33CT004XQ01	12YQS34CT001XQ01	12YQS34CT002XQ01	12YQS34CT003XQ01	12YQS34CT004XQ01	12YQS35CT001XQ01	12YQS35CT002XQ01	12YQS35CT003XQ01	12YQS35CT004XQ01	12YQS36CT001XQ01	12YQS36CT002XQ01	12YQS36CT003XQ01	12YQS36CT004XQ01	12YQS37CT001XQ01	12YQS37CT002XQ01	12YQS37CT003XQ01	12YQS37CT004XQ01	12YQS38CT001XQ01	12YQS38CT002XQ01	12YQS38CT003XQ01	12YQS38CT004XQ01	12YQS39CT001XQ01	12YQS39CT002XQ01	12YQS39CT003XQ01	12YQS39CT004XQ01	12YQS40CT001XQ01	12YQS40CT002XQ01	12YQS40CT003XQ01	12YQS40CT004XQ01	12YQS41CT001XQ01	12YQS41CT002XQ01	12YQS41CT003XQ01	12YQS41CT004XQ01	12YQS42CT001XQ01	12YQS42CT002XQ01	12YQS42CT003XQ01	12YQS42CT004XQ01	12YQS43CT001XQ01	12YQS43CT002XQ01	12YQS43CT003XQ01	12YQS43CT004XQ01	12YQS44CT001XQ01	12YQS44CT002XQ01	12YQS44CT003XQ01	12YQS44CT004XQ01	12YQS45CT001XQ01	12YQS45CT002XQ01	12YQS45CT003XQ01	12YQS45CT004XQ01	12YQS46CT001XQ01	12YQS46CT002XQ01	12YQS46CT003XQ01	12YQS46CT004XQ01	12YQS53CT001XQ01	12YQS53CT002XQ01	12YQS53CT003XQ01	12YQS53CT004XQ01	12YQS53CT005XQ01	12YQS54CT001XQ01	12YQS54CT002XQ01	12YQS54CT003XQ01	12YQS54CT004XQ01	12YQS54CT005XQ01
																																																																																																																																																																																																																																				
																																																																																																																																																																																																																																				
26.09.2012 02:40:00.000	293.7954	312.972	316.6613	56.0215	291.221	315.5789	318.7046	56.1047	291.5743	316.6096	319.9436	53.0113	291.0341	317.1395	320.7112	50.3202	291.4655	320.8892	321.611	50.4078	293.909	321.2557	323.8173	51.618	291.1728	315.08	319.2369	51.6538	292.0345	314.6252	317.421	50.0842	291.8255	312.2392	315.5612	54.0704	291.5706	313.6626	318.2017	58.2899	291.6183	315.3163	322.1172	51.2768	291.5014	316.9131	320.8067	55.1393	292.3009	321.153	325.1782	54.882	291.3577	314.2086	317.9775	56.4616	292.1584	322.5544	324.472	51.199	291.8006	313.029	318.0968	52.3813	291.8526	317.0585	321.7237	60.2759	293.0496	315.374	320.6265	58.6584	291.9402	319.7288	325.074	56.3629	291.303	312.4014	317.7804	52.0994	292.0973	316.7085	317.7838	50.1481	292.0071	315.4387	319.5634	50.068	291.4871	310.7739	315.236	52.7182	0	314.2856	319.362	52.9571	321.0221	0	316.8201	321.6505	60.8276	321.4031	318.5222	318.4872	319.3878	289.8192	289.8438	289.8393	318.0447	319.4533	318.8036	288.8219	288.7699	289.093	318.2617	318.9669	318.982	289.5364	289.4846	289.6008	318.7532	317.1365	318.8501	289.3758	289.1547	289.2406	291.3064	312.5757	315.3548	57.6089	292.1648	316.506	321.8547	57.8752	292.0937	318.1588	322.856	57.0013	292.0208	311.6491	314.9654	51.665	292.1434	318.292	321.2227	57.1271	291.6811	315.5196	319.6935	53.7676	291.8943	318.478	323.1961	51.055	291.8015	313.058	319.1297	49.7448	291.5928	315.8399	320.6121	59.3081	291.7122	314.1565	317.465	54.0299	291.5237	315.2685	317.7665	55.2805	291.9865	317.2126	321.0066	52.1716	290.5489	310.9686	313.0112	53.2143	293.3423	324.0149	327.1628	49.9567	291.9832	314.7691	318.8085	51.5115	291.8149	311.4875	316.7462	49.9981	299.2335	312.5668	317.7834	59.1274	291.3362	320.3738	323.8371	52.377	290.9973	316.0679	317.025	50.2759	291.7806	317.255	323.0095	49.9374	291.9027	314.2049	317.9729	49.7505	292.2501	312.7295	318.7679	50.0654	291.3337	311.1468	316.6156	51.0879	0	312.7563	318.1083	49.8638	321.2411	0	307.9236	311.5657	51.8832	321.7624
26.09.2012 02:40:10.000	293.7954	313.0582	316.8045	56.0215	291.2498	315.464	318.5901	56.1047	291.6031	316.6671	320.2015	53.0113	291.0923	317.254	320.7968	50.3202	291.4946	320.8892	321.5253	50.4078	293.909	321.2557	323.7601	51.618	291.2307	315.08	319.2083	51.6538	292.0345	314.5678	317.335	50.0842	291.8546	312.3254	315.6471	54.0704	291.4543	313.72	318.2876	58.2899	291.7051	315.3449	322.1172	51.2768	291.5593	316.7701	320.7495	55.1393	292.3585	321.2388	325.3211	54.882	291.5018	314.2374	318.0062	56.4616	292.1584	322.5256	324.3578	51.199	291.7682	313.0258	318.1794	52.4068	291.7081	317.0298	321.6666	60.2759	293.1074	315.3454	320.7122	58.6584	291.853	319.5853	324.5876	56.3629	291.4765	312.6312	317.7804	52.0994	292.1007	316.7981	317.9016	50.1227	291.9813	315.4705	319.6523	50.0425	291.5447	310.7164	315.1787	52.7182	0	314.1428	319.2189	52.9571	321.0221	0	316.5946	321.3114	60.8023	321.3775	318.6338	318.4872	319.332	289.8742	289.8438	289.8393	318.1004	319.4533	318.9149	288.8768	288.7699	289.1481	318.3732	318.9669	319.0377	289.5364	289.4846	289.6008	318.8644	317.1365	318.9058	289.3758	289.1547	289.2406	291.364	312.5469	315.2975	57.6089	292.2227	316.4486	321.769	57.8752	292.0648	318.1588	322.4283	57.0013	292.0786	311.6491	314.7375	51.665	292.1723	318.3493	321.3943	57.1271	291.7101	315.6058	319.8082	53.7676	292.0103	318.5355	323.1961	51.055	291.8015	313.0293	319.2441	49.7448	291.6798	315.8112	320.5836	59.3081	291.6833	314.2427	317.0647	54.0299	291.4948	315.1824	317.7379	55.2805	291.9865	317.1267	321.1208	52.1716	290.5489	311.0261	313.0973	53.2143	293.3711	324.1012	328.0209	49.9567	292.0424	314.7117	318.6942	51.5115	291.7859	311.4303	316.6317	49.9981	299.2362	312.541	317.7862	59.1017	291.4198	320.4852	323.8911	52.4024	291.0839	316.1829	317.3119	50.2759	291.813	317.0864	323.0984	49.9121	291.9064	314.1798	317.9765	49.7254	292.2501	312.787	319.0248	50.0654	291.3626	311.0892	316.5869	51.0879	0	312.8136	318.1369	49.8638	321.3269	0	307.8983	311.5403	51.8578	321.4175
26.09.2012 02:40:20.000	293.882	313.2305	316.7472	56.0215	291.3073	315.7798	318.8764	56.1047	291.632	316.6096	320.2588	53.0113	291.0632	317.1395	320.6826	50.3202	291.5203	320.886	321.4937	50.4334	293.88	321.1984	323.7029	51.618	291.2018	315.1375	319.2941	51.6538	292.0634	314.5965	317.3064	50.0842	291.8546	312.2392	315.5326	54.0704	291.6287	313.8061	318.259	58.2899	291.6183	315.3449	322.1743	51.2768	291.5014	316.8845	320.7781	55.1393	292.3009	321.2102	325.2354	54.882	291.3865	314.2374	318.0635	56.4616	292.1875	322.6119	324.472	51.199	291.7682	313.0833	318.4939	52.4068	291.8814	317.1446	321.7523	60.2759	293.1074	315.6032	320.8552	58.6584	291.9692	319.6427	324.9881	56.3629	291.303	312.2291	317.5796	52.0994	292.1007	316.7407	317.8444	50.1227	291.9813	315.4419	319.5666	50.0425	291.6023	310.8889	315.3504	52.7182	0	314.1714	319.3334	52.9571	321.0799	0	316.7663	321.2543	60.8023	321.3486	318.5779	318.4872	319.3878	289.8742	289.8438	289.8393	318.1559	319.3421	318.8593	288.8768	288.8248	289.1481	318.2617	318.9669	319.0377	289.5915	289.4846	289.6008	318.8644	317.0255	318.9058	289.3758	289.2098	289.2406	291.3928	312.6906	315.4409	57.6089	292.2227	316.506	321.7975	57.8752	292.1515	318.1874	322.5709	57.0013	292.1075	311.7065	315.3072	51.665	292.1723	318.378	321.3657	57.1271	291.7101	315.5484	319.6935	53.7676	291.9233	318.3918	322.6257	51.055	291.8593	313.058	319.2441	49.7448	291.7088	315.8399	320.6406	59.3081	291.741	314.1852	317.3221	54.0299	291.6104	315.2685	317.7379	55.2805	291.9865	317.2986	321.235	52.1716	290.5489	310.9686	313.0686	53.2143	293.3134	324.245	328.0495	49.9567	292.1312	314.8551	318.8657	51.5115	291.8149	311.4875	316.6603	49.9981	299.2623	312.5668	317.869	59.1274	291.4198	320.4566	323.9768	52.4024	291.0262	316.0103	316.9963	50.2759	291.7841	317.2871	323.1554	49.9121	291.9895	314.2622	318.0015	49.7505	292.2501	312.672	318.7679	50.0654	291.3657	311.0923	316.7047	51.0623	0	312.8709	318.1656	49.8638	321.2125	0	308.0417	311.7124	51.8578	322.2304
26.09.2012 02:40:30.000	293.9686	313.0869	316.8045	56.0215	291.3937	315.5501	318.7332	56.1047	291.632	316.6384	320.4307	53.0113	291.0632	317.1395	320.7397	50.3202	291.5494	320.9147	321.4937	50.4334	293.8511	321.1984	323.7029	51.618	291.3176	315.0513	319.2655	51.6538	292.0056	314.5965	317.335	50.0842	291.8838	312.2967	315.6471	54.0704	291.7159	313.7774	318.259	58.2899	291.6762	315.2876	322.0887	51.2768	291.5304	316.9416	320.8353	55.1393	292.3297	321.2961	325.2639	54.882	291.3837	314.1193	317.9172	56.4874	292.2457	322.6694	324.5575	51.199	291.6845	312.9715	318.0682	52.3813	291.8814	317.1733	321.8664	60.2759	293.1074	315.46	320.5693	58.6584	291.9983	319.5853	325.0168	56.3629	291.2452	312.1142	317.4935	52.0994	292.1586	316.8555	317.9303	50.1227	291.9523	315.3561	319.4809	50.0425	291.6311	310.8889	315.3218	52.7182	0	314.2285	319.3047	52.9571	321.0221	0	316.8521	321.6825	60.8023	321.3775	318.5222	318.5987	319.332	289.8742	289.8438	289.7843	318.1559	319.2866	318.8593	288.8768	288.8248	289.2032	318.3732	318.9669	319.1489	289.5915	289.4846	289.6008	318.5865	317.4701	318.9058	289.4309	289.2098	289.2955	291.4792	312.6618	315.4409	57.6089	292.1937	316.506	321.8261	57.8752	292.1804	318.1588	322.9986	57.0013	292.1075	311.7065	315.1363	51.665	292.2301	318.3206	321.3085	57.1271	291.7972	315.5484	319.7508	53.7676	291.8364	318.4493	323.0535	51.055	291.9172	313.1154	319.3586	49.7448	291.7088	316.5005	320.6976	59.3081	291.741	314.1565	317.1791	54.0299	291.6392	315.498	317.7951	55.2805	291.9865	317.1267	321.1493	52.1716	290.5777	310.9973	313.0973	53.2143	293.2558	324.0724	327.5919	49.9567	292.1608	314.7978	318.8943	51.5115	291.757	311.4016	316.6031	49.9981	299.2074	312.5123	317.9288	59.1017	291.4198	320.3993	323.9197	52.4024	290.9685	316.0103	316.9676	50.2759	291.8709	317.1437	322.9845	49.9121	292.0221	314.2372	318.0051	49.7254	292.1634	312.6432	318.5394	50.0654	291.3914	311.1756	316.7016	51.0879	0	312.8996	318.0224	49.8638	321.2411	0	308.0704	311.7411	51.8578	322.695
26.09.2012 02:40:40.000	293.7665	312.9433	316.4323	56.0215	291.1922	315.4353	318.5901	56.1047	291.6898	316.7246	320.3161	53.0113	291.2668	317.3112	320.7968	50.3202	291.6655	321.0865	321.8362	50.4334	293.9923	321.3669	323.8712	51.6433	291.2307	315.2237	319.2941	51.6538	292.0056	314.7114	317.421	50.0842	291.9129	312.3829	315.7902	54.0704	291.5125	313.7774	318.03	58.2899	291.7918	315.431	322.2599	51.2768	291.6717	316.9669	320.8893	55.1647	292.416	321.4677	325.6069	54.882	291.6432	314.4072	318.2614	56.4874	292.2457	322.5831	324.4434	51.199	291.8586	313.1439	318.5543	52.3813	291.7948	317.0298	321.581	60.2759	293.1363	315.4313	320.5979	58.6584	291.9111	319.7288	325.1026	56.3629	291.6467	312.7715	318.0353	52.1249	292.1876	316.9128	318.0735	50.1227	292.0361	315.5245	319.6776	50.068	291.5447	310.8314	315.2073	52.7182	0	314.2856	319.362	52.9571	320.9931	0	316.6519	321.1116	60.8023	321.3486	318.6338	318.543	319.332	289.8742	289.8438	289.8944	318.2115	319.2866	318.8593	288.9319	288.8799	289.2032	318.3732	318.9669	319.1489	289.5915	289.5396	289.711	318.5865	317.3589	318.7946	289.4309	289.2098	289.2955	291.3064	312.6044	315.3548	57.6089	292.2806	316.506	321.7975	57.8752	292.0937	318.1874	322.6564	57.0013	292.1365	311.6778	315.1078	51.665	292.2301	318.3493	321.3943	57.1271	291.7972	315.692	319.7795	53.7676	292.0972	318.6216	322.3975	51.055	291.7436	313.0293	319.2441	49.7448	291.7346	316.5546	320.7799	59.3335	291.7988	314.2715	317.4936	54.0299	291.5237	315.2685	317.6522	55.2805	292.1024	317.184	321.0922	52.1716	290.6642	311.1411	313.1546	53.2143	293.4288	324.1874	328.1925	49.9567	292.0128	314.7978	318.7513	51.5115	291.8439	311.3444	316.6603	49.9981	299.32	312.5956	317.926	59.1274	291.4809	320.4598	323.9514	52.377	291.2821	316.2945	317.4807	50.3013	291.8096	317.2263	323.038	49.9374	291.8738	314.2908	318.0587	49.7505	292.3367	312.8445	318.8821	50.0654	291.3014	311.1432	316.5834	51.1131	0	312.8136	318.1656	49.8638	321.3269	0	307.9236	311.5944	51.8832	321.2688
26.09.2012 02:40:50.000	294.1129	313.1731	316.8618	56.0215	291.5089	315.665	318.8192	56.1047	291.6898	316.7533	319.571	53.0113	291.1505	317.2254	320.7968	50.3202	291.5784	320.8002	321.351	50.4334	293.909	321.2271	323.7887	51.618	291.4045	315.1949	319.3798	51.6538	292.0634	314.5678	317.335	50.0842	291.8838	312.3254	315.6185	54.0704	291.9193	313.8922	318.4021	58.2899	291.6472	315.3736	322.0887	51.2768	291.7006	317.0812	321.0323	55.1647	292.3872	321.2674	325.2925	54.882	291.4702	314.1768	317.8311	56.4874	292.3038	322.7557	324.6431	51.199	291.6555	313.0577	318.4971	52.3813	292.0259	317.1159	321.9235	60.2759	293.1363	315.46	320.4835	58.6584	292.0854	319.6714	324.9023	56.3629	291.1263	312.2258	317.4042	52.1249	292.2456	316.8842	317.9876	50.1227	292.0103	315.3847	319.5094	50.0425	291.8326	311.0901	315.5506	52.7182	0	314.1143	319.1617	52.9571	321.0799	0	316.9093	321.5397	60.8023	321.4064	318.6338	318.7101	319.4434	289.9291	289.8989	289.8944	318.1559	319.3978	318.9149	288.987	288.935	289.3132	318.4289	318.9669	319.0377	289.6466	289.5947	289.6559	318.4753	317.748	318.9058	289.486	289.2649	289.3506	291.5944	312.8342	315.6129	57.6089	292.2516	316.5634	321.9119	57.8752	292.296	318.1874	322.7705	57.0013	292.2267	311.8821	315.1396	51.6397	292.3458	318.55	321.5371	57.1271	291.8552	315.6058	319.8082	53.7676	291.8364	318.4206	322.9965	51.055	292.004	313.2016	319.473	49.7448	291.8796	316.7269	321.0078	59.3335	291.7988	314.1852	317.2649	54.0299	291.8703	315.4406	317.938	55.2805	292.0444	317.2699	321.2921	52.1716	290.6353	310.9398	313.0112	53.2143	293.2846	323.9861	327.7921	49.9567	292.2495	314.9124	318.9229	51.5115	291.8439	311.4303	316.6317	49.9981	299.2912	312.5956	317.926	59.1274	291.5934	320.5999	324.0626	52.4024	291.055	315.9816	316.9963	50.2759	291.9287	317.3732	323.1838	49.9121	292.1378	314.4091	318.0908	49.7254	292.2469	312.7261	318.8503	50.0909	291.4811	311.3229	316.7047	51.0623	0	312.9569	318.3087	49.8638	321.2697	0	308.1851	311.7984	51.8578	322.0272
26.09.2012 02:41:00.000	293.9365	312.9973	316.6009	56.0469	291.3649	315.5501	318.7619	56.1047	291.6898	316.6384	320.5167	53.0113	291.1796	317.1682	320.7112	50.3202	291.6074	320.9719	321.665	50.4334	293.9055	321.1662	323.6997	51.6433	291.2018	315.08	319.2655	51.6538	292.0056	314.7114	317.3064	50.0842	291.942	312.2392	315.5612	54.0704	291.6577	313.8061	318.3162	58.2899	291.7051	315.3449	322.1172	51.2768	291.6138	317.1098	320.9465	55.1647	292.3872	321.2388	325.2925	54.882	291.4702	314.1768	318.0033	56.4874	292.2166	322.6694	324.586	51.199	291.7716	312.9715	318.2112	52.3813	291.9392	317.1733	321.6952	60.2759	293.1363	315.4027	320.6837	58.6584	291.9983	319.7288	325.0453	56.3629	291.3865	312.312	317.7198	52.1249	292.1297	316.7981	317.9016	50.1227	292.0071	315.4101	319.5062	50.068	291.5478	310.7198	315.1819	52.6927	0	314.1714	319.2475	52.9571	321.051	0	316.8235	321.5397	60.8023	321.4643	318.5779	318.5987	319.332	289.8742	289.8438	289.8393	318.2115	319.2866	318.9149	288.987	288.8799	289.2583	318.3732	319.0225	319.2044	289.6466	289.5947	289.711	318.531	317.9149	319.0724	289.486	289.2649	289.3506	291.4792	312.7193	315.4695	57.6089	292.2257	316.5378	321.8291	57.8497	292.1838	318.1335	322.9448	56.9759	292.1399	311.7386	315.0827	51.6397	292.259	318.4353	321.4228	57.1271	291.7682	315.692	319.7795	53.7676	292.0103	318.4493	322.8254	51.055	291.8015	313.1729	319.4158	49.7448	291.7636	316.612	320.7799	59.3335	291.7988	314.2427	317.3506	54.0299	291.6941	315.3229	317.7922	55.3063	292.0444	317.2126	321.1493	52.1716	290.6065	310.9973	313.0973	53.2143	293.3423	323.9574	327.9065	49.9567	292.0128	314.9124	318.9229	51.5115	291.7859	311.5161	316.6889	49.9981	299.265	312.5698	317.8147	59.1017	291.4809	320.5171	324.0086	52.377	291.1127	316.0103	316.9963	50.2759	291.8385	317.3697	323.2374	49.9374	291.8774	314.2372	318.0622	49.7254	292.2501	312.557	318.3965	50.0654	291.3014	311.2585	316.6695	51.1131	0	312.8709	318.0511	49.8638	321.2411	0	308.0956	311.7378	51.8832	322.3721
26.09.2012 02:41:10.000	293.8499	313.0835	317.0016	56.0469	291.2786	315.665	318.7332	56.1047	291.6609	316.6671	320.3448	53.0113	291.1214	317.1395	320.7112	50.3202	291.5784	320.9433	321.5793	50.4334	293.9055	321.2809	323.814	51.6433	291.2307	315.1949	319.2941	51.6538	292.0345	314.5965	317.2204	50.0842	291.8838	312.2679	315.6185	54.0704	291.5415	313.6626	318.3162	58.2899	291.6762	315.3736	322.2028	51.2768	291.556	316.7954	320.8321	55.1647	292.3872	321.2388	325.2068	54.882	291.4414	314.3496	318.0893	56.4874	292.2457	322.6407	324.5575	51.199	291.8006	313.0002	318.0968	52.3813	291.8814	317.0011	321.8094	60.2759	293.1074	315.374	320.7122	58.6584	291.9692	319.7574	325.1026	56.3629	291.3865	312.5417	317.8919	52.1249	292.1297	316.7981	317.9303	50.1227	292.0361	315.4673	319.5919	50.068	291.6342	310.8347	315.2391	52.6927	0	314.2	319.2762	52.9571	321.0221	0	316.6805	321.4827	60.8023	321.4932	318.6338	318.5987	319.3878	289.8742	289.8989	289.8393	318.2115	319.1754	318.9149	288.9319	288.8799	289.2032	318.3732	319.0225	319.0932	289.6466	289.5947	289.711	318.6978	317.4145	318.8501	289.4309	289.2098	289.3506	291.3064	312.6618	315.3835	57.6089	292.2257	316.5378	321.8291	57.8497	292.097	318.1335	322.8308	56.9759	292.0532	311.6525	314.9687	51.6397	292.1723	318.3493	321.3657	57.1271	291.7682	315.6633	319.5787	53.7676	291.9813	318.4493	322.8539	51.055	291.7755	313.0037	319.2471	49.7192	291.6766	316.4684	320.7514	59.3335	291.741	314.1565	317.1505	54.0299	291.5526	315.2111	317.7094	55.2805	292.0444	317.1553	321.2064	52.1716	290.6065	310.9973	313.1546	53.2143	293.3134	324.0149	327.7921	49.9567	292.0128	314.7978	318.9514	51.5115	291.8149	311.3158	316.46	49.9981	299.265	312.5698	317.8717	59.1017	291.3652	320.4598	323.8371	52.377	291.138	316.0068	317.0217	50.3013	291.8096	317.3124	323.1519	49.9374	291.9353	314.1798	317.9765	49.7254	292.2789	312.7295	318.825	50.0654	291.4427	311.1689	316.6664	51.1387	0	312.9823	318.1623	49.8892	321.3232	0	307.8949	311.5084	51.8832	322.1689
