	10JKS00FU901XQ01	11JEC11CT701XQ01	11JEC11CT702XQ01	11JEC11CT703XQ01	12JEC11CT704XQ01	12JEC11CT705XQ01	12JEC11CT706XQ01	11JEC21CT701XQ01	11JEC21CT702XQ01	11JEC21CT703XQ01	12JEC21CT704XQ01	12JEC21CT705XQ01	12JEC21CT706XQ01	11JEC31CT701XQ01	11JEC31CT702XQ01	11JEC31CT703XQ01	12JEC31CT704XQ01	12JEC31CT705XQ01	12JEC31CT706XQ01	11JEC41CT701XQ01	11JEC41CT702XQ01	11JEC41CT703XQ01	12JEC41CT704XQ01	12JEC41CT705XQ01	12JEC41CT706XQ01	11JEC13CT701XQ01	11JEC13CT702XQ01	11JEC13CT703XQ01	12JEC13CT704XQ01	12JEC13CT705XQ01	12JEC13CT706XQ01	11JEC23CT701XQ01	11JEC23CT702XQ01	11JEC23CT703XQ01	12JEC23CT704XQ01	12JEC23CT705XQ01	12JEC23CT706XQ01	11JEC33CT701XQ01	11JEC33CT702XQ01	11JEC33CT703XQ01	12JEC33CT704XQ01	12JEC33CT705XQ01	12JEC33CT706XQ01	11JEC43CT701XQ01	11JEC43CT702XQ01	11JEC43CT703XQ01	12JEC43CT704XQ01	12JEC43CT705XQ01	12JEC43CT706XQ01	
06.04.2015 15:57:03	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
06.04.2015 15:57:04	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
06.04.2015 15:57:05	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
06.04.2015 15:57:06	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
06.04.2015 15:57:07	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
06.04.2015 15:57:08	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
06.04.2015 15:57:09	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
06.04.2015 15:57:10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
06.04.2015 15:57:11	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
06.04.2015 15:57:12	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
