KKSBusher	KKSNVnpp	name	Unit
11YCS00CP017AXQ1	11JAA10CP803AXQ01	P IN CORE 1k. 1ch.	MPa
11YCS00CP017BXQ1	11JAA10CP803BXQ01	P IN CORE 1k. 2ch.	MPa
11YCS00CP017CXQ1	11JAA10CP803CXQ01	P IN CORE 1k. 3ch.	MPa
12YCS00CP018AXQ1	12JAA10CP803AXQ01	P IN CORE 2k. 1ch.	MPa
12YCS00CP018BXQ1	12JAA10CP803BXQ01	P IN CORE 2k. 2ch.	MPa
12YCS00CP018CXQ1	12JAA10CP803CXQ01	P IN CORE 2k. 3ch.	MPa
11YAS10CP003AXQ1	11JEC10CP702AXQ01	DP RCPU - 1 1k. 1ch.	MPa
11YAS10CP003BXQ1	11JEC10CP702BXQ01	DP RCPU - 1 1k. 2ch.	MPa
11YAS10CP003CXQ1	11JEC10CP702CXQ01	DP RCPU - 1 1k. 3ch.	MPa
12YAS10CP004AXQ1	12JEC10CP702AXQ01	DP RCPU - 1 2k. 1ch.	MPa
12YAS10CP004BXQ1	12JEC10CP702BXQ01	DP RCPU - 1 2k. 2ch.	MPa
12YAS10CP004CXQ1	12JEC10CP702CXQ01	DP RCPU - 1 2k. 3ch.	MPa
11YAS20CP003AXQ1	11JEC20CP702AXQ01	DP RCPU - 2 1k. 1ch.	MPa
11YAS20CP003BXQ1	11JEC20CP702BXQ01	DP RCPU - 2 1k. 2ch.	MPa
11YAS20CP003CXQ1	11JEC20CP702CXQ01	DP RCPU - 2 1k. 3ch.	MPa
12YAS20CP004AXQ1	12JEC20CP702AXQ01	DP RCPU - 2 2k. 1ch.	MPa
12YAS20CP004BXQ1	12JEC20CP702BXQ01	DP RCPU - 2 2k. 2ch.	MPa
12YAS20CP004CXQ1	12JEC20CP702CXQ01	DP RCPU - 2 2k. 3ch.	MPa
11YAS30CP003AXQ1	11JEC30CP702AXQ01	DP RCPU - 3 1k. 1ch.	MPa
11YAS30CP003BXQ1	11JEC30CP702BXQ01	DP RCPU - 3 1k. 2ch.	MPa
11YAS30CP003CXQ1	11JEC30CP702CXQ01	DP RCPU - 3 1k. 3ch.	MPa
12YAS30CP004AXQ1	12JEC30CP702AXQ01	DP RCPU - 3 2k. 1ch.	MPa
12YAS30CP004BXQ1	12JEC30CP702BXQ01	DP RCPU - 3 2k. 2ch.	MPa
12YAS30CP004CXQ1	12JEC30CP702CXQ01	DP RCPU - 3 2k. 3ch.	MPa
11YAS40CP003AXQ1	11JEC40CP702AXQ01	DP RCPU - 4 1k. 1ch.	MPa
11YAS40CP003BXQ1	11JEC40CP702BXQ01	DP RCPU - 4 1k. 2ch.	MPa
11YAS40CP003CXQ1	11JEC40CP702CXQ01	DP RCPU - 4 1k. 3ch.	MPa
12YAS40CP004AXQ1	12JEC40CP702AXQ01	DP RCPU - 4 2k. 1ch.	MPa
12YAS40CP004BXQ1	12JEC40CP702BXQ01	DP RCPU - 4 2k. 2ch.	MPa
12YAS40CP004CXQ1	12JEC40CP702CXQ01	DP RCPU - 4 2k. 3ch.	MPa
11BAS10CE305AXQ1	10JEB10CE144AXQ1	F RCPU - 1 1k. 1ch.	hz
11BAS10CE305BXQ1	10JEB10CE144BXQ1	F RCPU - 1 1k. 2ch.	hz
11BAS10CE305CXQ1	10JEB10CE144CXQ1	F RCPU - 1 1k. 3ch.	hz
12BAS10CE305DXQ1	10JEB10CE244AXQ1	F RCPU - 1 2k. 1ch.	hz
12BAS10CE305FXQ1	10JEB10CE244BXQ1	F RCPU - 1 2k. 2ch.	hz
12BAS10CE305GXQ1	10JEB10CE244CXQ1	F RCPU - 1 2k. 3ch.	hz
11BBS10CE305AXQ1	10JEB20CE144AXQ1	F RCPU - 2 1k. 1ch.	hz
11BBS10CE305BXQ1	10JEB20CE144BXQ1	F RCPU - 2 1k. 2ch.	hz
11BBS10CE305CXQ1	10JEB20CE144CXQ1	F RCPU - 2 1k. 3ch.	hz
12BBS10CE305DXQ1	10JEB20CE244AXQ1	F RCPU - 2 2k. 1ch.	hz
12BBS10CE305FXQ1	10JEB20CE244BXQ1	F RCPU - 2 2k. 2ch.	hz
12BBS10CE305GXQ1	10JEB20CE244CXQ1	F RCPU - 2 2k. 3ch.	hz
11BCS10CE305AXQ1	10JEB30CE144AXQ1	F RCPU - 3 1k. 1ch.	hz
11BCS10CE305BXQ1	10JEB30CE144BXQ1	F RCPU - 3 1k. 2ch.	hz
11BCS10CE305CXQ1	10JEB30CE144CXQ1	F RCPU - 3 1k. 3ch.	hz
12BCS10CE305DXQ1	10JEB30CE244AXQ1	F RCPU - 3 2k. 1ch.	hz
12BCS10CE305FXQ1	10JEB30CE244BXQ1	F RCPU - 3 3k. 2ch.	hz
12BCS10CE305GXQ1	10JEB30CE244CXQ1	F RCPU - 3 3k. 3ch.	hz
11BDS10CE305AXQ1	10JEB40CE144AXQ1	F RCPU - 4 1k. 1ch.	hz
11BDS10CE305BXQ1	10JEB40CE144BXQ1	F RCPU - 4 1k. 2ch.	hz
11BDS10CE305CXQ1	10JEB40CE144CXQ1	F RCPU - 4 1k. 3ch.	hz
12BDS10CE305DXQ1	10JEB40CE244AXQ1	F RCPU - 4 2k. 1ch.	hz
12BDS10CE305FXQ1	10JEB40CE244BXQ1	F RCPU - 4 2k. 2ch.	hz
12BDS10CE305GXQ1	10JEB40CE244CXQ1	F RCPU - 4 2k. 3ch.	hz
11BAS10CE303AXQ1	10JEB10CE124AXQ1	W RCPU - 1 1k. 1ch.	MW
11BAS10CE303BXQ1	10JEB10CE124BXQ1	W RCPU - 1 1k. 2ch.	MW
11BAS10CE303CXQ1	10JEB10CE124CXQ1	W RCPU - 1 1k. 3ch.	MW
12BAS10CE303DXQ1	10JEB10CE224AXQ1	W RCPU - 1 2k. 1ch.	MW
12BAS10CE303FXQ1	10JEB10CE224BXQ1	W RCPU - 1 2k. 2ch.	MW
12BAS10CE303GXQ1	10JEB10CE224CXQ1	W RCPU - 1 2k. 3ch.	MW
11BBS10CE303AXQ1	10JEB20CE124AXQ1	W RCPU - 2 1k. 1ch.	MW
11BBS10CE303BXQ1	10JEB20CE124BXQ1	W RCPU - 2 1k. 2ch.	MW
11BBS10CE303CXQ1	10JEB20CE124CXQ1	W RCPU - 2 1k. 3ch.	MW
12BBS10CE303DXQ1	10JEB20CE224AXQ1	W RCPU - 2 2k. 1ch.	MW
12BBS10CE303FXQ1	10JEB20CE224BXQ1	W RCPU - 2 2k. 2ch.	MW
12BBS10CE303GXQ1	10JEB20CE224CXQ1	W RCPU - 2 2k. 3ch.	MW
11BCS10CE303AXQ1	10JEB30CE124AXQ1	W RCPU - 3 1k. 1ch.	MW
11BCS10CE303BXQ1	10JEB30CE124BXQ1	W RCPU - 3 1k. 2ch.	MW
11BCS10CE303CXQ1	10JEB30CE124CXQ1	W RCPU - 3 1k. 3ch.	MW
12BCS10CE303DXQ1	10JEB30CE224AXQ1	W RCPU - 3 2k. 1ch.	MW
12BCS10CE303FXQ1	10JEB30CE224BXQ1	W RCPU - 3 2k. 2ch.	MW
12BCS10CE303GXQ1	10JEB30CE224CXQ1	W RCPU - 3 2k. 3ch.	MW
11BDS10CE303AXQ1	10JEB40CE124AXQ1	W RCPU - 4 1k. 1ch.	MW
11BDS10CE303BXQ1	10JEB40CE124BXQ1	W RCPU - 4 1k. 2ch.	MW
11BDS10CE303CXQ1	10JEB40CE124CXQ1	W RCPU - 4 1k. 3ch.	MW
12BDS10CE303DXQ1	10JEB40CE224AXQ1	W RCPU - 4 2k. 1ch.	MW
12BDS10CE303FXQ1	10JEB40CE224BXQ1	W RCPU - 4 2k. 2ch.	MW
12BDS10CE303GXQ1	10JEB40CE224CXQ1	W RCPU - 4 2k. 3ch.	MW
10BAR10CE902AXB1	11JRE11ER120XE16	RCPU - 1 switch ON 1k. 1ch.	-
10BAR10CE902BXB1	11JRF11ER120XE16	RCPU - 1 switch ON 1k. 2ch.	-
10BAR10CE902CXB1	11JRG11ER120XE16	RCPU - 1 switch ON 1k. 3ch.	-
10BAR10CE902DXB1	12JRE11ER120XE16	RCPU - 1 switch ON 2k. 1ch.	-
10BAR10CE902FXB1	12JRF11ER120XE16	RCPU - 1 switch ON 2k. 2ch.	-
10BAR10CE902GXB1	12JRG11ER120XE16	RCPU - 1 switch ON 2k. 3ch.	-
10BBR10CE902AXB1	11JRE11ER120XE26	RCPU - 2 switch ON 1k. 1ch.	-
10BBR10CE902BXB1	11JRF11ER120XE26	RCPU - 2 switch ON 1k. 2ch.	-
10BBR10CE902CXB1	11JRG11ER120XE26	RCPU - 2 switch ON 1k. 3ch.	-
10BBR10CE902DXB1	12JRE11ER120XE26	RCPU - 2 switch ON 2k. 1ch.	-
10BBR10CE902FXB1	12JRF11ER120XE26	RCPU - 2 switch ON 2k. 2ch.	-
10BBR10CE902GXB1	12JRG11ER120XE26	RCPU - 2 switch ON 2k. 3ch.	-
10BCR10CE902AXB1	11JRE11ER120XE36	RCPU - 3 switch ON 1k. 1ch.	-
10BCR10CE902BXB1	11JRF11ER120XE36	RCPU - 3 switch ON 1k. 2ch.	-
10BCR10CE902CXB1	11JRG11ER120XE36	RCPU - 3 switch ON 1k. 3ch.	-
10BCR10CE902DXB1	12JRE11ER120XE36	RCPU - 3 switch ON 2k. 1ch.	-
10BCR10CE902FXB1	12JRF11ER120XE36	RCPU - 3 switch ON 2k. 2ch.	-
10BCR10CE902GXB1	12JRG11ER120XE36	RCPU - 3 switch ON 2k. 3ch.	-
10BDR10CE902AXB1	11JRE11ER120XE46	RCPU - 4 switch ON 1k. 1ch.	-
10BDR10CE902BXB1	11JRF11ER120XE46	RCPU - 4 switch ON 1k. 2ch.	-
10BDR10CE902CXB1	11JRG11ER120XE46	RCPU - 4 switch ON 1k. 3ch.	-
10BDR10CE902DXB1	12JRE11ER120XE46	RCPU - 4 switch ON 2k. 1ch.	-
10BDR10CE902FXB1	12JRF11ER120XE46	RCPU - 4 switch ON 2k. 2ch.	-
10BDR10CE902GXB1	12JRG11ER120XE46	RCPU - 4 switch ON 2k. 3ch.	-
10YCR00CP019XQ01	10JAA10CP704XQ01	DP on reactor	MPa
10YCR00FP901XQ01	10JAA10FP901XQ01	aver P in reactor	MPa
10YBR10CP001XQ01	10JEA10CP701XQ01	P steam SG - 1	MPa
10YBR20CP001XQ01	10JEA20CP701XQ01	P steam SG - 2	MPa
10YBR30CP001XQ01	10JEA30CP701XQ01	P steam SG - 3	MPa
10YBR40CP001XQ01	10JEA40CP701XQ01	P steam SG - 4	MPa
10RLR61CF001DXQ1	10LAB30CF701XQ01	G feet water SG - 1	m3/h
10RLR71CF001DXQ1	10LAB40CF701XQ01	G feet water SG - 2	m3/h
10RLR81CF001DXQ1	10LAB50CF701XQ01	G feet water SG - 3	m3/h
10RLR91CF001DXQ1	10LAB60CF701XQ01	G feet water SG - 4	m3/h
10RLR61CT001XQ01	10LAB30CT002XQ01	T feet water SG - 1	oC
10RLR71CT001XQ01	10LAB40CT002XQ01	T feet water SG - 2	oC
10RLR81CT001XQ01	10LAB50CT002XQ01	T feet water SG - 3	oC
10RLR91CT001XQ01	10LAB60CT002XQ01	T feet water SG - 4	oC
10RLR61CP001DXQ1	10LAB10CP701XQ01	P feet water SG - 1	MPa
10RLR71CP001DXQ1	10LAB20CP701XQ01	P feet water SG - 2	MPa
10RLR81CP001DXQ1	10LAB30CP701XQ01	P feet water SG - 3	MPa
10RLR91CP001DXQ1	10LAB40CP701XQ01	P feet water SG - 4	MPa
10TVR40CA001XQ01	10KUA12CQ001XQ01	concentration H3BO3	g/l
10YAR10AP001XQ01	10JEB10FU001XQ01	condition loop - 1	-
10YAR20AP001XQ01	10JEB20FU001XQ01	condition loop - 2	-
10YAR30AP001XQ01	10JEB30FU001XQ01	condition loop - 3	-
10YAR40AP001XQ01	10JEB40FU001XQ01	condition loop - 4	-
10YQR00FU004XQ01	10JKS00FU003XQ01	REGIM RP	-
10YAR10FP901XQ01	10JEC10FP901XQ01	aver P on RCPU - 1	MPa
10YAR20FP901XQ01	10JEC20FP901XQ01	aver P on RCPU - 2	MPa
10YAR30FP901XQ01	10JEC30FP901XQ01	aver P on RCPU - 3	MPa
10YAR40FP901XQ01	10JEC40FP901XQ01	aver P on RCPU - 4	MPa
10YCR00FF903XQ02	10JKS00FF901XQ01	G on reactor	m3/h
10YAR12FT901XQ01	10JEC13FT001XQ01	aver T in cold leg - 1	oC
10YAR22FT901XQ01	10JEC23FT001XQ01	aver T in cold leg - 2	oC
10YAR32FT901XQ01	10JEC33FT001XQ01	aver T in cold leg - 3	oC
10YAR42FT901XQ01	10JEC43FT001XQ01	aver T in cold leg - 4	oC
10YAR11FT901XQ01	10JEC11FT001XQ01	aver T in hot leg - 1	oC
10YAR21FT901XQ01	10JEC21FT001XQ01	aver T in hot leg - 2	oC
10YAR31FT901XQ01	10JEC31FT001XQ01	aver T in hot leg - 3	oC
10YAR41FT901XQ01	10JEC41FT001XQ01	aver T in hot leg - 4	oC
10YQR05FX904XQ01	10JKS14FX906XQ01	min reg KV	-
10YQR09FX904XQ01	10JKS28FX906XQ01	min DNBR	-
10JKS51FT902XQ01	10YQR00FT902XQ01	max T FA	oC
10YCR00FF903XQ02	10JKS00FF901XQ02	mas G on reactor	m3/h
10YAR11FT901XQ02	10JEC11FT901XQ01	T before saturation loop-1	oC
10YAR21FT901XQ02	10JEC21FT901XQ01	T before saturation loop-2	oC
10YAR31FT901XQ02	10JEC31FT901XQ01	T before saturation loop-3	oC
10YAR41FT901XQ02	10JEC41FT901XQ01	T before saturation loop-4	oC
10YCR00FT001XQ01	10JAA10FT001XQ01	T saturation	oC
10YBR10CL007XQ02	10JEA10CL004XQ01	L in SG - 1 (low base)	m
10YBR20CL007XQ02	10JEA20CL004XQ01	L in SG - 2 (low base)	m
10YBR30CL007XQ02	10JEA30CL004XQ01	L in SG - 3 (low base)	m
10YBR40CL007XQ02	10JEA40CL004XQ01	L in SG - 4 (low base)	m
10YBR10CL904XQ02	10JEA10CL003XQ01	L in SG - 1 (big base)	m
10YBR20CL904XQ02	10JEA20CL003XQ01	L in SG - 2 (big base)	m
10YBR30CL904XQ02	10JEA30CL003XQ01	L in SG - 3 (big base)	m
10YBR40CL904XQ02	10JEA40CL003XQ01	L in SG - 4 (big base)	m
10YAR00FT901XQ01	10JEC01FT901XQ04	aver T cold loops	oC
10YAR00FT901XQ02	10JEC02FT901XQ04	aver T hot loops	oC
10YQR00FU901XQ01	10JKS10FX901XQ01	offset	%
10YAR00FX001XQ01	10JEC00FT001XQ01	N reactor (1Й)	MW
10RLR00FX903XQ01	10LAB00FT001XQ01	N reactor (2Й)	MW
10YQR00FX001XQ01	10JKS00FU001XQ01	N reactor (ДОГ)	MW
10YCR00FX001XQ01	10JKT00FU001XQ01	N reactor (юймо)	MW
10YQR00FX901XQ01	10JKS00FU901XQ02	N reactor (ЯПЕДМЕБГБЕЬ)	%
10YQR00FX001XQ02	10JKS00FU001XQ02	N reactor (ДОГ)	%
10YCR00FX001XQ02	10JKT00FU001XQ02	N reactor (юймо)	%
10YQR00FX901XQ02	10JKS00FU901XQ01	N reactor (ЯПЕДМЕБГБЕЬ)	MW
10YVM00FG907XQ01	10JDA10FG901XQ02	8(10) ЦПСООЮ нп ясг	%
10YVM00FG908XQ01	10JDA11FG901XQ02	9(11) ЦПСООЮ нп ясг	%
10YVM00FG909XQ01	10JDA12FG901XQ02	10(12) ЦПСООЮ нп ясг	%
11YAS12CT001AXQ1	11JEC13CT701XQ01	T cold leg 1-st loop 1k. 1ch.	oC
11YAS12CT001BXQ1	11JEC13CT702XQ01	T cold leg 1-st loop 1k. 2ch.	oC
11YAS12CT001CXQ1	11JEC13CT703XQ01	T cold leg 1-st loop 1k. 3ch.	oC
12YAS12CT002AXQ1	12JEC13CT704XQ01	T cold leg 1-st loop 2k. 1ch.	oC
12YAS12CT002BXQ1	12JEC13CT705XQ01	T cold leg 1-st loop 2k. 2ch.	oC
12YAS12CT002CXQ1	12JEC13CT706XQ01	T cold leg 1-st loop 2k. 3ch.	oC
11YAS22CT001AXQ1	11JEC23CT701XQ01	T cold leg 2-d loop 1k. 1ch.	oC
11YAS22CT001BXQ1	11JEC23CT702XQ01	T cold leg 2-d loop 1k. 2ch.	oC
11YAS22CT001CXQ1	11JEC23CT703XQ01	T cold leg 2-d loop 1k. 3ch.	oC
12YAS22CT002AXQ1	12JEC23CT704XQ01	T cold leg 2-d loop 2k. 1ch.	oC
12YAS22CT002BXQ1	12JEC23CT705XQ01	T cold leg 2-d loop 2k. 2ch.	oC
12YAS22CT002CXQ1	12JEC23CT706XQ01	T cold leg 2-d loop 2k. 3ch.	oC
11YAS32CT001AXQ1	11JEC33CT701XQ01	T cold leg 3-th loop 1k. 1ch.	oC
11YAS32CT001BXQ1	11JEC33CT702XQ01	T cold leg 3-th loop 1k. 2ch.	oC
11YAS32CT001CXQ1	11JEC33CT703XQ01	T cold leg 3-th loop 1k. 3ch.	oC
12YAS32CT002AXQ1	12JEC33CT704XQ01	T cold leg 3-th loop 2k. 1ch.	oC
12YAS32CT002BXQ1	12JEC33CT705XQ01	T cold leg 3-th loop 2k. 2ch.	oC
12YAS32CT002CXQ1	12JEC33CT706XQ01	T cold leg 3-th loop 2k. 3ch.	oC
11YAS42CT001AXQ1	11JEC43CT701XQ01	T cold leg 4-th loop 1k. 1ch.	oC
11YAS42CT001BXQ1	11JEC43CT702XQ01	T cold leg 4-th loop 1k. 2ch.	oC
11YAS42CT001CXQ1	11JEC43CT703XQ01	T cold leg 4-th loop 1k. 3ch.	oC
12YAS42CT002AXQ1	12JEC43CT704XQ01	T cold leg 4-th loop 2k. 1ch.	oC
12YAS42CT002BXQ1	12JEC43CT705XQ01	T cold leg 4-th loop 2k. 2ch.	oC
12YAS42CT002CXQ1	12JEC43CT706XQ01	T cold leg 4-th loop 2k. 3ch.	oC
11YAS11CT007AXQ1	11JEC11CT701XQ01	T hot leg 1-st loop 2k. 1ch.	oC
11YAS11CT007BXQ1	11JEC11CT702XQ01	T hot leg 1-st loop 2k. 2ch.	oC
11YAS11CT007CXQ1	11JEC11CT703XQ01	T hot leg 1-st loop 2k. 3ch.	oC
12YAS11CT008AXQ1	12JEC11CT704XQ01	T hot leg 1-st loop 2k. 1ch.	oC
12YAS11CT008BXQ1	12JEC11CT705XQ01	T hot leg 1-st loop 2k. 2ch.	oC
12YAS11CT008CXQ1	12JEC11CT706XQ01	T hot leg 1-st loop 2k. 3ch.	oC
11YAS21CT007AXQ1	11JEC21CT701XQ01	T hot leg 2-d loop 2k. 1ch.	oC
11YAS21CT007BXQ1	11JEC21CT702XQ01	T hot leg 2-d loop 2k. 2ch.	oC
11YAS21CT007CXQ1	11JEC21CT703XQ01	T hot leg 2-d loop 2k. 3ch.	oC
12YAS21CT008AXQ1	12JEC21CT704XQ01	T hot leg 2-d loop 2k. 1ch.	oC
12YAS21CT008BXQ1	12JEC21CT705XQ01	T hot leg 2-d loop 2k. 2ch.	oC
12YAS21CT008CXQ1	12JEC21CT706XQ01	T hot leg 2-d loop 2k. 3ch.	oC
11YAS31CT007AXQ1	11JEC31CT701XQ01	T hot leg 3-th loop 2k. 1ch.	oC
11YAS31CT007BXQ1	11JEC31CT702XQ01	T hot leg 3-th loop 2k. 2ch.	oC
11YAS31CT007CXQ1	11JEC31CT703XQ01	T hot leg 3-th loop 2k. 3ch.	oC
12YAS31CT008AXQ1	12JEC31CT704XQ01	T hot leg 3-th loop 2k. 1ch.	oC
12YAS31CT008BXQ1	12JEC31CT705XQ01	T hot leg 3-th loop 2k. 2ch.	oC
12YAS31CT008CXQ1	12JEC31CT706XQ01	T hot leg 3-th loop 2k. 3ch.	oC
11YAS41CT007AXQ1	11JEC41CT701XQ01	T hot leg 4-th loop 2k. 1ch.	oC
11YAS41CT007BXQ1	11JEC41CT702XQ01	T hot leg 4-th loop 2k. 2ch.	oC
11YAS41CT007CXQ1	11JEC41CT703XQ01	T hot leg 4-th loop 2k. 3ch.	oC
12YAS41CT008AXQ1	12JEC41CT704XQ01	T hot leg 4-th loop 2k. 1ch.	oC
12YAS41CT008BXQ1	12JEC41CT705XQ01	T hot leg 4-th loop 2k. 2ch.	oC
12YAS41CT008CXQ1	12JEC41CT706XQ01	T hot leg 4-th loop 2k. 3ch.	oC
11YCS00FX002AXQ4	10JKT10FX711XQ02	N NFME 1k. 1ch.	%
11YCS00FX002BXQ4	10JKT20FX711XQ02	N NFME 1k. 2ch.	%
11YCS00FX002CXQ4	10JKT30FX711XQ02	N NFME 1k. 3ch.	%
12YCS00FX002AXQ4	10JKT40FX711XQ02	N NFME 2k. 1ch.	%
12YCS00FX002BXQ4	10JKT50FX711XQ02	N NFME 2k. 2ch.	%
12YCS00FX002CXQ4	10JKT60FX711XQ02	N NFME 2k. 3ch.	%
10YAR00FX001XQ02	10JEC00FU001XQ02	N reactor (1Й)	%
10RLR00FX903XQ02	10LAB00FU001XQ02	N reactor (2Й)	%
11YQS01CT001XQ01	11JAA11CT701XQ01	ро-3	oC
11YQS01CT002XQ01	11JAA11CT702XQ01	ро-1ю	oC
11YQS01CT003XQ01	11JAA11CT703XQ01	ро-1б	oC
11YQS01CT004XQ01	11JAA11CT704XQ01	ро-3	oC
11YQS02CT001XQ01	11JAA11CT711XQ01	ро-1ю	oC
